qtd_membros,duracao_dias,cartoes_previstos,story_points_previstos,tipo_dominio,complexidade_media,percentual_bugs,percentual_retrabalho,velocidade_passada,produtividade_estimada
5,20,23,1.6031096030555765,1,2.5,0.2,0.05,32.57,2.202321180637131
6,14,49,-0.6506438583314929,1,2.4,0.05,0.13,45.12,-1.258731677558817
7,20,49,0.4373750540622648,1,2.9,0.12,0.18,69.79,-0.46002717182129055
6,13,31,-0.16103534775430192,0,3.7,0.1,0.1,47.7,-0.6996385235425485
5,15,48,-0.24263676618383376,1,2.1,0.17,0.12,42.69,-0.3269097541983695
6,21,47,2.6134128788497804,3,3.6,0.21,0.2,46.78,2.468556015882973
3,19,48,-1.1752244053784833,2,3.2,0.17,0.11,64.32,-0.5931445894442117
3,16,35,-0.7905320042106903,0,3.0,0.09,0.12,42.48,0.28543036686706746
7,13,43,0.1925707987736693,2,1.9,0.06,0.14,53.88,-0.6996385235425485
4,11,46,-0.9148770227699768,1,2.4,0.17,0.09,61.16,-0.7795089741163012
3,20,33,-1.1169376779288176,2,4.3,0.27,0.13,46.99,-0.46002717182129055
7,19,33,0.30137269001304506,3,2.8,0.19,0.13,59.11,-0.5931445894442117
7,15,49,0.1653703259638254,2,1.5,0.11,0.16,61.99,-0.7262620070671327
5,18,49,1.214531420057806,0,2.8,0.07,0.12,57.08,1.6698515101454467
3,20,45,-1.1169376779288176,2,2.3,0.05,0.19,65.98,-0.46002717182129055
7,21,44,3.4294270631450985,3,4.1,0.27,0.2,67.31,2.468556015882973
5,10,46,-0.9226485864299323,2,4.0,0.12,0.1,43.86,-1.258731677558817
4,20,38,0.20422814426360245,0,3.6,0.2,0.17,59.68,1.1373818396537623
6,13,26,0.14205563498395915,3,3.4,0.18,0.08,35.23,-0.3535332377229537
5,11,49,-0.14549222043439108,2,2.7,0.24,0.18,61.14,-0.1937923365754484
6,12,30,-0.6040144763717604,0,3.6,0.25,0.1,39.18,-1.2054847105096487
7,18,37,0.1653703259638254,1,1.9,0.18,0.04,39.9,-0.7262620070671327
4,10,29,-0.728359494931047,0,1.5,0.14,0.18,50.85,-0.46002717182129055
5,18,47,0.1653703259638254,3,3.9,0.13,0.1,45.51,0.23218339981789904
5,15,40,0.34023050831282214,1,2.4,0.14,0.13,38.07,0.47179475153915695
6,15,48,1.214531420057806,2,4.5,0.19,0.21,44.56,0.8711470044079201
5,15,25,-0.8255040406804897,3,2.6,0.06,0.11,61.32,-1.125614259935896
4,10,34,-0.8837907681301552,3,3.9,0.24,0.13,40.91,-0.7262620070671327
7,20,49,0.9813845102591436,0,3.6,0.19,0.18,43.87,0.07244249867039375
6,17,34,-0.30092349363349935,2,1.6,0.23,0.04,48.08,-0.8593794246900538
7,14,43,-0.37863913023305346,3,4.3,0.17,0.18,42.18,-1.258731677558817
3,15,30,-1.4083713151771455,3,2.4,0.13,0.15,44.31,-1.125614259935896
4,18,27,-0.32423818461336557,1,3.8,0.12,0.09,49.18,0.23218339981789904
6,10,30,-0.6506438583314929,2,4.1,0.2,0.15,53.22,-1.258731677558817
6,16,21,1.4476783298564684,1,2.5,0.19,0.11,65.65,1.1373818396537623
5,11,26,-0.5729282217319388,3,2.9,0.21,0.2,30.96,-0.7795089741163012
7,10,23,-0.37863913023305346,3,1.7,0.19,0.05,36.97,-1.258731677558817
6,18,34,1.0746432741786085,0,4.3,0.21,0.13,46.55,0.7114061032604149
3,21,34,-1.058650950479152,3,2.2,0.17,0.08,48.76,-0.3269097541983695
6,10,25,0.0487968710644942,2,3.0,0.14,0.12,61.8,-0.46002717182129055
