sprint_id,tipo_dominio,qtd_membros,story_points_previstos,complexidade_media,percentual_bugs,cartoes_previstos,percentual_retrabalho
Sprint_01,Mobile,5,385,4.0,0.1,39,0.22
Sprint_02,Dados,6,1140,3.6,0.17,33,0.14
Sprint_03,Web,7,504,1.6,0.11,32,0.06
Sprint_04,API,4,504,4.2,0.26,25,0.11
Sprint_05,Dados,6,1026,2.7,0.1,45,0.13
Sprint_06,Dados,5,360,2.2,0.11,34,0.14
Sprint_07,Web,7,455,2.7,0.1,50,0.15
Sprint_08,API,3,330,3.9,0.08,26,0.15
Sprint_09,Dados,4,468,3.6,0.1,48,0.11
Sprint_10,Web,3,285,4.2,0.18,30,0.22
Sprint_11,API,7,952,4.4,0.24,30,0.17
Sprint_12,Mobile,4,480,2.2,0.23,33,0.19
Sprint_13,Web,4,576,2.2,0.19,41,0.13
Sprint_14,Web,7,1134,2.7,0.15,21,0.1
Sprint_15,Mobile,3,540,3.8,0.22,26,0.13
Sprint_16,Mobile,4,392,2.1,0.05,20,0.1
Sprint_17,API,7,420,4.0,0.2,39,0.16
Sprint_18,Web,6,462,4.0,0.18,35,0.11
Sprint_19,Dados,6,600,3.2,0.17,38,0.16
Sprint_20,API,4,720,2.1,0.06,20,0.17
Sprint_21,Mobile,6,360,3.6,0.19,33,0.09
Sprint_22,Web,4,544,2.8,0.15,41,0.1
Sprint_23,Mobile,4,336,2.5,0.17,29,0.09
Sprint_24,Mobile,3,378,1.6,0.06,37,0.1
Sprint_25,API,5,675,4.2,0.12,20,0.16
Sprint_26,API,7,455,3.5,0.24,26,0.14
Sprint_27,Mobile,3,405,2.3,0.11,41,0.18
Sprint_28,Web,6,918,2.7,0.19,45,0.17
Sprint_29,Dados,3,150,1.7,0.1,44,0.14
Sprint_30,Web,3,198,3.1,0.18,43,0.13
Sprint_31,Mobile,5,800,2.1,0.16,39,0.12
Sprint_32,Dados,3,195,2.5,0.2,45,0.08
Sprint_33,Mobile,7,1134,3.0,0.24,47,0.16
Sprint_34,API,4,408,4.0,0.22,23,0.1
Sprint_35,Web,6,396,3.8,0.14,40,0.19
Sprint_36,Dados,7,350,2.0,0.17,39,0.12
Sprint_37,Mobile,6,1140,1.8,0.13,20,0.05
Sprint_38,Web,5,360,3.6,0.17,35,0.19
Sprint_39,API,3,399,4.1,0.14,21,0.09
Sprint_40,API,7,945,3.1,0.07,48,0.19
Sprint_41,Web,3,540,2.9,0.12,25,0.07
Sprint_42,Dados,3,288,2.4,0.16,25,0.14
Sprint_43,API,6,540,3.5,0.1,32,0.21
Sprint_44,Mobile,7,686,3.9,0.21,43,0.12
Sprint_45,API,4,560,2.1,0.11,40,0.14
Sprint_46,Mobile,5,855,2.1,0.16,38,0.18
Sprint_47,API,7,756,4.4,0.21,49,0.2
Sprint_48,Mobile,3,480,1.6,0.22,32,0.09
Sprint_49,Mobile,5,735,3.0,0.07,37,0.2
Sprint_50,API,7,735,2.7,0.23,25,0.19
Sprint_51,API,7,588,1.7,0.06,42,0.11
Sprint_52,API,6,630,2.9,0.25,24,0.17
Sprint_53,Dados,7,1470,3.5,0.15,30,0.13
Sprint_54,Mobile,3,378,2.6,0.22,30,0.17
Sprint_55,Web,5,855,1.7,0.18,25,0.17
Sprint_56,API,3,240,2.2,0.11,41,0.14
Sprint_57,API,6,684,1.9,0.13,37,0.11
Sprint_58,Dados,3,264,2.6,0.16,40,0.15
Sprint_59,Mobile,7,1008,3.2,0.13,23,0.15
Sprint_60,Dados,3,252,4.2,0.13,42,0.13
Sprint_61,Dados,3,270,1.7,0.14,24,0.16
Sprint_62,Dados,3,420,3.9,0.23,31,0.14
Sprint_63,API,3,240,3.8,0.13,43,0.22
Sprint_64,Web,5,550,4.0,0.26,26,0.12
Sprint_65,Dados,3,288,3.9,0.21,27,0.17
Sprint_66,Dados,5,750,3.4,0.21,36,0.14
Sprint_67,Web,4,560,2.2,0.06,37,0.17
Sprint_68,Dados,4,648,3.6,0.24,25,0.11
Sprint_69,Mobile,7,882,2.8,0.21,44,0.1
Sprint_70,Web,5,1050,1.7,0.05,30,0.18
Sprint_71,Dados,7,945,2.0,0.06,36,0.17
Sprint_72,Mobile,7,735,4.2,0.16,36,0.21
Sprint_73,Mobile,6,660,3.0,0.19,20,0.19
Sprint_74,API,7,1050,3.3,0.25,24,0.14
Sprint_75,API,5,585,4.1,0.17,37,0.17
Sprint_76,Mobile,5,680,3.8,0.16,20,0.11
Sprint_77,Mobile,7,630,3.7,0.25,41,0.19
Sprint_78,Mobile,4,408,3.6,0.26,25,0.07
Sprint_79,Mobile,4,576,4.1,0.25,50,0.17
Sprint_80,Mobile,5,490,1.7,0.18,33,0.16
Sprint_81,Mobile,6,756,3.9,0.14,42,0.13
Sprint_82,Mobile,6,630,2.0,0.21,23,0.11
Sprint_83,API,3,240,2.3,0.05,24,0.14
Sprint_84,API,7,455,3.2,0.14,36,0.07
Sprint_85,Mobile,3,480,3.4,0.26,35,0.16
Sprint_86,API,5,600,2.6,0.11,35,0.13
Sprint_87,Web,5,1050,2.7,0.22,22,0.14
Sprint_88,Mobile,4,540,3.1,0.21,49,0.2
Sprint_89,Dados,4,384,2.1,0.23,31,0.13
Sprint_90,Mobile,6,882,2.2,0.05,39,0.09
Sprint_91,Web,5,325,2.0,0.23,20,0.07
Sprint_92,Dados,6,756,3.0,0.1,48,0.2
Sprint_93,API,6,432,3.5,0.21,23,0.11
Sprint_94,Dados,4,612,3.7,0.22,45,0.08
Sprint_95,Mobile,7,560,3.9,0.25,29,0.11
Sprint_96,Mobile,4,392,2.6,0.2,23,0.08
Sprint_97,Dados,4,432,2.6,0.12,43,0.09
Sprint_98,Web,5,800,4.3,0.25,30,0.19
Sprint_99,API,3,165,1.6,0.07,36,0.16
Sprint_100,Mobile,3,180,1.8,0.16,45,0.16
