Project_ID;Organization;Short_project_description;Year_technical_go_live;Organisation_profile;Business_domain;Development_method;Primary_programming_language;Development_class;Functional_size_FP;Actual_duration_months;Actual_cost_EUR;Actual_effort_hours;Defects_process;Defects_first_month;Stakeholder_satisfaction_process;Stakeholder Satisfaction - Product;Perceived_value_overall;Release_based_working;Once_only_project;Multi_application_release;Phased_project;Dependencies_with_other_applications;Single_application;Migration_project;Problems_with_external_supplier;Security_related_project;Package_of_the_shelf;Package_with_customization;Steady_heartbeat;Fixed_experienced_team;Many_team_changes_unexperienced_team;Legacy_application;Technology_driven_project;Rules_and_regulations_driven_project;Business_driven_project;Pilot_or_proof_of_concept
411;Beltel;T5 Timers - QW from MSP. Small enhancement to an existing system. Performed by a team of the strategic partner (Indian, partly onsite, partly offsite). Project manager of the Telecom company (onsite). Project 4.1 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Client and Account Management;Plan-driven;;Conversion (<5% new);35;19,03;110.643;;30;1;2,50;2,50;3,06;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
429;Beltel;Easy Script (clean up master MSISDN). Small enhancement to an existing system. Plan-driven delivery approach. Performed by a team of the strategic partner (Indian, partly onsite, partly offsite). Project manager of the Telecom company (onsite). Project 6.6 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Billing;Plan-driven;;New Development;28;10,29;67.733;;7;;2,60;3,00;2,96;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
430;Beltel;Campaign Management Tool (Comviva) WP05. Sub-project of a large implementation of a new Campaign Management system in the CX department (Customer Experience). Plan-driven development approach. Globally distributed team: Project Manager, Business Analyst, Main Developer, Testers onsite, developers offsite (India). High management attention due to regular budget and schedule overrun. Project suffered from a bad image in Telecom organisation due to ongoing problems and many defects. Project 5.2 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Client and Account Management;Plan-driven;;Major Enhancement (25-75% new);50;11,90;143.575;34;72;;2,75;3,75;3,71;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
403;Beltel;Campaign Management - Change Request 2. Sub-project of a large implementation of a new Campaign Management system in the CX department (Customer Experience). Plan-driven development approach. Globally distributed team: Project Manager, Business Analyst, Main Developer, Testers onsite, developers offsite (India). High management attention due to regular budget and schedule overrun. Project suffered from a bad imago in Telecom organisation due to ongoing problems and many defects. Project 3.4 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Data Warehouse & BI;Scrum;;Conversion (<5% new);177;9,69;143.575;;142;;2,83;2,83;3,63;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
434;Beltel;Integrate payment by Credit-card Aliases. Small enhancement to an existing Billing system. Plan-driven delivery approach. Performed by a team of the strategic partner (Indian, partly onsite, partly offsite). Project manager of the Telecom company (onsite). Project 6.1 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Internet & Mobile;Plan-driven;;Major Enhancement (25-75% new);12;10,29;38.455;;4;;3,00;4,00;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
441;Beltel;Migration IPG. Migration project in an existing IPG system. Plan-driven delivery approach. Performed by a team of the strategic partner (Indian, partly onsite, partly offsite). Project manager of the Telecom company (onsite). Project 6.9 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Client and Account Management;Plan-driven;;Major Enhancement (25-75% new);125;14,66;255.585;;15;;3,00;3,00;3,25;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
439;Beltel;E-Invoice for all SoHo Customers. Small enhancement to an existing Billing system. Plan-driven delivery approach. Performed by a team of the strategic partner (Indian, partly onsite, partly offsite). Project manager of the Telecom company (onsite). Project 6.5 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Billing;Plan-driven;;New Development;25;13,67;63.632;;1;;3,17;2,83;3,69;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
425;Beltel;"Enhancements project on an existing Billing application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Admin Fee for SoHo Customers";2015;Telecommunications;Billing;Plan-driven;;New Development;12;10,98;54.500;;4;;3,40;3,40;2,61;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
438;Beltel;Adapt T&C Procedure DOB Wmode Platform. Small enhancement to an existing system. Plan-driven delivery approach. Performed by a team of the strategic partner (Indian, partly onsite, partly offsite). Project manager of the Telecom company (onsite). Project 6.4 in Elsevier Information and Software Technology         https://doi.org/10.1016/j.infsof.2017.04.008;2015;Telecommunications;Billing;Plan-driven;;Major Enhancement (25-75% new);24;9,50;38.554;;;;3,50;3,50;3,50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
391;Beltel;"Maintenance and enhancements project on an existing Billing application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; BillShock Opt Out Script For Split Bill
";2014;Telecommunications;Billing;Plan-driven;;Major Enhancement (25-75% new);13;5,16;33.659;;;;3,63;3,63;3,44;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
