Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Duration,Size,Time,Effort
92.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,16.0,647.0,8.0,7871.0
93.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,130.0,9.0,845.0
90.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,8.0,254.0,6.0,2330.0
86.0,3.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,16.0,1056.0,2.0,21272.0
88.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,12.0,383.0,4.0,4224.0
92.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,12.0,345.0,8.0,2826.0
87.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,27.0,209.0,3.0,7320.0
86.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,24.0,366.0,2.0,9125.0
87.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,54.0,1181.0,3.0,11900.0
87.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,13.0,181.0,3.0,4300.0
90.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,21.0,739.0,6.0,4150.0
91.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,7.0,108.0,7.0,900.0
90.0,3.0,5.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,10.0,48.0,6.0,583.0
91.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,19.0,249.0,7.0,2565.0
92.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,11.0,371.0,8.0,4047.0
87.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,13.0,211.0,3.0,1520.0
91.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,32.0,1849.0,7.0,25910.0
89.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,38.0,2482.0,5.0,37286.0
85.0,3.0,3.0,1.0,2.0,2.0,0.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,40.0,434.0,1.0,15052.0
