sprint_id,data_inicio,data_fim,qtd_membros,duracao_dias,cartoes_previstos,cartoes_entregues,story_points_previstos,story_points_entregues,tipo_dominio,complexidade_media,percentual_bugs,percentual_retrabalho,velocidade_passada,produtividade_estimada
Sprint_01,2025-01-01,2025-01-15,5,14,41,40,79,64,Web,4.1,0.17,0.08,66.98,15.8
Sprint_02,2025-01-15,2025-01-29,3,14,41,39,76,60,Dados,2.6,0.1,0.13,34.02,25.33
Sprint_03,2025-01-29,2025-02-12,7,14,23,22,86,85,Mobile,3.2,0.19,0.16,68.04,12.29
Sprint_04,2025-02-12,2025-02-26,6,14,46,40,75,72,Dados,4.1,0.19,0.16,56.08,12.5
Sprint_05,2025-02-26,2025-03-12,7,14,34,33,92,91,Dados,2.7,0.15,0.16,33.97,13.14
Sprint_06,2025-03-12,2025-03-26,7,14,44,34,109,104,Dados,3.0,0.07,0.06,56.34,15.57
Sprint_07,2025-03-26,2025-04-09,7,14,29,28,104,102,Mobile,2.8,0.23,0.1,45.68,14.86
Sprint_08,2025-04-09,2025-04-23,6,14,45,41,83,77,Dados,1.6,0.23,0.14,62.75,13.83
Sprint_09,2025-04-23,2025-05-07,5,14,28,23,95,70,API,2.1,0.17,0.16,64.04,19.0
Sprint_10,2025-05-07,2025-05-21,4,14,50,46,65,53,Dados,4.5,0.18,0.17,48.75,16.25
