sprint_id,data_inicio,data_fim,qtd_membros,duracao_dias,cartoes_previstos,cartoes_entregues,story_points_previstos,story_points_entregues,tipo_dominio,complexidade_media,percentual_bugs,percentual_retrabalho,velocidade_passada,produtividade_estimada
Sprint_01,2025-01-01,2025-01-14,7,13,36,34,819,609,Web,2.3,0.21,0.18,30.53,117.0
Sprint_02,2025-01-15,2025-01-27,7,12,29,27,504,363,API,4.1,0.28,0.22,42.17,72.0
Sprint_03,2025-01-28,2025-02-08,5,11,42,41,440,404,Mobile,3.3,0.12,0.22,37.61,88.0
Sprint_04,2025-02-09,2025-02-23,6,14,23,16,588,505,Mobile,4.0,0.22,0.23,31.64,98.0
Sprint_05,2025-02-24,2025-03-16,5,20,27,25,1000,816,Web,3.7,0.11,0.11,66.68,200.0
Sprint_06,2025-03-17,2025-04-01,7,15,47,44,525,495,API,2.4,0.13,0.06,63.2,75.0
Sprint_07,2025-04-02,2025-04-15,6,13,26,22,624,535,Web,3.2,0.17,0.11,38.6,104.0
Sprint_08,2025-04-16,2025-05-07,4,21,25,24,840,648,Dados,2.0,0.05,0.09,50.68,210.0
Sprint_09,2025-05-08,2025-05-21,4,13,40,38,364,282,Mobile,4.1,0.15,0.19,42.48,91.0
Sprint_10,2025-05-22,2025-06-01,4,10,31,23,200,180,Dados,2.3,0.22,0.19,50.34,50.0
Sprint_11,2025-06-02,2025-06-19,3,17,41,37,255,208,Dados,3.9,0.28,0.1,42.38,85.0
Sprint_12,2025-06-20,2025-07-11,5,21,37,28,630,621,Dados,4.2,0.19,0.09,31.16,126.0
Sprint_13,2025-07-12,2025-07-31,4,19,31,27,532,439,API,1.9,0.09,0.07,50.51,133.0
Sprint_14,2025-08-01,2025-08-12,3,11,36,30,231,226,API,3.1,0.19,0.11,55.68,77.0
Sprint_15,2025-08-13,2025-08-26,7,13,38,35,819,676,Web,2.8,0.21,0.08,35.54,117.0
Sprint_16,2025-08-27,2025-09-12,7,16,21,19,560,438,Dados,4.4,0.27,0.13,52.52,80.0
Sprint_17,2025-09-13,2025-09-25,5,12,40,31,600,581,Mobile,2.0,0.23,0.09,43.66,120.0
Sprint_18,2025-09-26,2025-10-13,6,17,23,20,714,549,API,1.7,0.13,0.04,51.58,119.0
Sprint_19,2025-10-14,2025-10-30,3,16,27,23,336,334,Mobile,3.3,0.24,0.09,57.3,112.0
Sprint_20,2025-10-31,2025-11-18,4,18,41,37,504,399,Mobile,3.1,0.17,0.1,60.16,126.0
Sprint_21,2025-11-19,2025-11-29,6,10,44,33,600,492,Mobile,3.7,0.27,0.08,39.05,100.0
Sprint_22,2025-11-30,2025-12-20,7,20,29,25,840,801,Dados,2.0,0.16,0.12,62.04,120.0
Sprint_23,2025-12-21,2026-01-03,3,13,28,24,312,222,API,3.1,0.21,0.13,42.38,104.0
Sprint_24,2026-01-04,2026-01-14,5,10,37,30,350,339,Mobile,2.1,0.11,0.06,32.09,70.0
Sprint_25,2026-01-15,2026-02-05,5,21,29,20,525,399,API,2.5,0.21,0.13,52.42,105.0
Sprint_26,2026-02-06,2026-02-21,5,15,25,24,675,626,Mobile,2.8,0.08,0.11,55.74,135.0
Sprint_27,2026-02-22,2026-03-09,5,15,22,21,450,388,API,4.4,0.16,0.23,68.74,90.0
Sprint_28,2026-03-10,2026-03-29,6,19,27,22,684,611,Mobile,3.9,0.18,0.1,35.77,114.0
Sprint_29,2026-03-30,2026-04-19,6,20,20,18,960,908,API,2.7,0.12,0.13,39.09,160.0
Sprint_30,2026-04-20,2026-05-08,7,18,24,21,1260,1101,Dados,3.2,0.25,0.18,61.07,180.0
Sprint_31,2026-05-09,2026-05-19,7,10,43,35,420,357,API,1.6,0.23,0.18,35.52,60.0
Sprint_32,2026-05-20,2026-05-31,4,11,45,38,396,373,API,1.5,0.1,0.11,66.09,99.0
Sprint_33,2026-06-01,2026-06-21,4,20,25,22,800,672,Web,2.3,0.09,0.06,65.83,200.0
